name,proc_id,njss_url,address,open_count,total_count,result_count
日本原子力研究開発機構(JAEA),220,https://www2.njss.info/organizations/proc/220,茨城県,475,90964,82671
国際協力機構(JICA),757,https://www2.njss.info/organizations/proc/757,東京都,302,50180,42621
産業技術総合研究所(AIST/産総研),719,https://www2.njss.info/organizations/proc/719,茨城県,141,69877,56175
量子科学技術研究開発機構(QST),231,https://www2.njss.info/organizations/proc/231,千葉県,126,21064,18172
情報通信研究機構(NICT),362,https://www2.njss.info/organizations/proc/362,東京都,111,30554,21587
理化学研究所,236,https://www2.njss.info/organizations/proc/236,埼玉県,74,25184,22912
国立がん研究センター,689,https://www2.njss.info/organizations/proc/689,東京都,57,12684,9655
農業・食品産業技術総合研究機構(NARO),290,https://www2.njss.info/organizations/proc/290,茨城県,50,32607,21738
水産研究・教育機構,288,https://www2.njss.info/organizations/proc/288,神奈川県,49,10509,9650
物質・材料研究機構(NIMS),230,https://www2.njss.info/organizations/proc/230,茨城県,46,19028,15749
中小企業基盤整備機構(SMRJ),727,https://www2.njss.info/organizations/proc/727,東京都,45,10316,5065
科学技術振興機構(JST),223,https://www2.njss.info/organizations/proc/223,埼玉県,42,38936,36721
鉄道建設・運輸施設整備支援機構(JRTT),443,https://www2.njss.info/organizations/proc/443,神奈川県,39,20852,15272
防災科学技術研究所(NIED),218,https://www2.njss.info/organizations/proc/218,茨城県,37,7182,6409
国立印刷局,400,https://www2.njss.info/organizations/proc/400,東京都,32,13692,12013
都市再生機構(UR),456,https://www2.njss.info/organizations/proc/456,神奈川県,32,11204,6310
都市再生機構(UR) 東日本賃貸住宅本部,4517,https://www2.njss.info/organizations/proc/4517,東京都,32,14432,11644
新エネルギー・産業技術総合開発機構(NEDO),725,https://www2.njss.info/organizations/proc/725,神奈川県,30,15415,13941
土木研究所(PWRI),455,https://www2.njss.info/organizations/proc/455,茨城県,29,8676,7461
日本私立学校振興・共済事業団,1872,https://www2.njss.info/organizations/proc/1872,東京都,29,7015,6218
都市再生機構(UR) 西日本支社,5055,https://www2.njss.info/organizations/proc/5055,大阪府,28,13727,9993
海洋研究開発機構(JAMSTEC),221,https://www2.njss.info/organizations/proc/221,神奈川県,25,10156,9248
高齢・障害・求職者雇用支援機構,606,https://www2.njss.info/organizations/proc/606,千葉県,25,14723,8897
水資源機構,457,https://www2.njss.info/organizations/proc/457,埼玉県,24,24321,18398
労働者健康安全機構,613,https://www2.njss.info/organizations/proc/613,神奈川県,23,5603,3199
国立循環器病研究センター(NCVC),693,https://www2.njss.info/organizations/proc/693,大阪府,23,8332,5365
製品評価技術基盤機構(NITE),718,https://www2.njss.info/organizations/proc/718,東京都,23,9478,3916
労働者健康安全機構 山陰労災病院,1481,https://www2.njss.info/organizations/proc/1481,鳥取県,23,1481,828
造幣局(MINT),398,https://www2.njss.info/organizations/proc/398,大阪府,22,6685,5892
エネルギー・金属鉱物資源機構(JOGMEC),724,https://www2.njss.info/organizations/proc/724,東京都,22,12472,10410
都市再生機構(UR) 東日本都市再生本部,4531,https://www2.njss.info/organizations/proc/4531,東京都,20,4076,2990
森林研究・整備機構 森林整備センター,289,https://www2.njss.info/organizations/proc/289,神奈川県,18,3418,1133
海技教育機構,447,https://www2.njss.info/organizations/proc/447,静岡県,18,2343,1617
国立美術館,217,https://www2.njss.info/organizations/proc/217,東京都,15,2449,2033
自動車事故対策機構(NASVA),448,https://www2.njss.info/organizations/proc/448,東京都,15,3204,2611
国立病院機構,605,https://www2.njss.info/organizations/proc/605,東京都,15,4700,2875
国際交流基金,758,https://www2.njss.info/organizations/proc/758,東京都,15,4211,3900
国際観光振興機構〈日本政府観光局〉(JNTO),442,https://www2.njss.info/organizations/proc/442,東京都,14,4357,3473
港湾空港技術研究所(PARI),454,https://www2.njss.info/organizations/proc/454,神奈川県,14,4938,3217
建築研究所(BRI),497,https://www2.njss.info/organizations/proc/497,茨城県,14,19330,1150
情報処理推進機構(IPA),721,https://www2.njss.info/organizations/proc/721,東京都,14,4365,3891
都市再生機構(UR) 中部支社,5057,https://www2.njss.info/organizations/proc/5057,愛知県,14,4491,3640
都市再生機構(UR) 東日本賃貸住宅本部 神奈川地域,5063,https://www2.njss.info/organizations/proc/5063,神奈川県,14,4477,3865
自動車技術総合機構 交通安全環境研究所,451,https://www2.njss.info/organizations/proc/451,東京都,13,2153,771
国立長寿医療研究センター(NCGG),691,https://www2.njss.info/organizations/proc/691,愛知県,13,3725,2847
日本スポーツ振興センター,226,https://www2.njss.info/organizations/proc/226,東京都,12,4819,4228
農林水産消費安全技術センター(FAMIC),287,https://www2.njss.info/organizations/proc/287,埼玉県,12,1897,1597
国立環境研究所(NIES),743,https://www2.njss.info/organizations/proc/743,茨城県,12,8175,5487
水資源機構 中部支社 木曽川中下流用水総合管理所,473,https://www2.njss.info/organizations/proc/473,愛知県,11,672,69
